X,Y,gid,Name,description,altitudeMode,CODE_10KM,CD_SIG,FID,Field_1
-5.88483111671868,45.2920624090813,1,10kmL93E000N650,,clampToGround,E000N650,10kmL93E000N650,0,10kmL93E000N650
-5.89917798915482,45.3815364251088,2,10kmL93E000N651,,clampToGround,E000N651,10kmL93E000N651,1,10kmL93E000N651
-5.91357107278385,45.4710099280377,3,10kmL93E000N652,,clampToGround,E000N652,10kmL93E000N652,2,10kmL93E000N652
-5.9280105902739,45.5604826956856,4,10kmL93E000N653,,clampToGround,E000N653,10kmL93E000N653,3,10kmL93E000N653
-5.94249676571977,45.6499545055028,5,10kmL93E000N654,,clampToGround,E000N654,10kmL93E000N654,4,10kmL93E000N654
-5.95702982465422,45.7394251345733,6,10kmL93E000N655,,clampToGround,E000N655,10kmL93E000N655,5,10kmL93E000N655
-5.97160999405952,45.8288943596156,7,10kmL93E000N656,,clampToGround,E000N656,10kmL93E000N656,6,10kmL93E000N656
-5.98623750237904,45.9183619569827,8,10kmL93E000N657,,clampToGround,E000N657,10kmL93E000N657,7,10kmL93E000N657
-6.00091257952901,46.0078277026639,9,10kmL93E000N658,,clampToGround,E000N658,10kmL93E000N658,8,10kmL93E000N658
-6.01563545691035,46.0972913722849,10,10kmL93E000N659,,clampToGround,E000N659,10kmL93E000N659,9,10kmL93E000N659
-6.03040636742055,46.1867527411083,11,10kmL93E000N660,,clampToGround,E000N660,10kmL93E000N660,10,10kmL93E000N660
-6.04522554546582,46.2762115840347,12,10kmL93E000N661,,clampToGround,E000N661,10kmL93E000N661,11,10kmL93E000N661
-6.06009322697324,46.3656676756037,13,10kmL93E000N662,,clampToGround,E000N662,10kmL93E000N662,12,10kmL93E000N662
-6.07500964940303,46.4551207899938,14,10kmL93E000N663,,clampToGround,E000N663,10kmL93E000N663,13,10kmL93E000N663
-6.08997505176101,46.5445707010237,15,10kmL93E000N664,,clampToGround,E000N664,10kmL93E000N664,14,10kmL93E000N664
-6.1049896746111,46.6340171821528,16,10kmL93E000N665,,clampToGround,E000N665,10kmL93E000N665,15,10kmL93E000N665
-6.12005376008803,46.7234600064822,17,10kmL93E000N666,,clampToGround,E000N666,10kmL93E000N666,16,10kmL93E000N666
-6.13516755191005,46.812898946755,18,10kmL93E000N667,,clampToGround,E000N667,10kmL93E000N667,17,10kmL93E000N667
-6.15033129539188,46.9023337753569,19,10kmL93E000N668,,clampToGround,E000N668,10kmL93E000N668,18,10kmL93E000N668
-6.16554523745778,46.9917642643175,20,10kmL93E000N669,,clampToGround,E000N669,10kmL93E000N669,19,10kmL93E000N669
-6.18080962665461,47.0811901853105,21,10kmL93E000N670,,clampToGround,E000N670,10kmL93E000N670,20,10kmL93E000N670
-6.1961247131652,47.1706113096545,22,10kmL93E000N671,,clampToGround,E000N671,10kmL93E000N671,21,10kmL93E000N671
-6.21149074882174,47.2600274083139,23,10kmL93E000N672,,clampToGround,E000N672,10kmL93E000N672,22,10kmL93E000N672
-6.22690798711935,47.3494382518991,24,10kmL93E000N673,,clampToGround,E000N673,10kmL93E000N673,23,10kmL93E000N673
-6.24237668322972,47.4388436106676,25,10kmL93E000N674,,clampToGround,E000N674,10kmL93E000N674,24,10kmL93E000N674
-6.25789709401495,47.5282432545245,26,10kmL93E000N675,,clampToGround,E000N675,10kmL93E000N675,25,10kmL93E000N675
-6.27346947804153,47.6176369530234,27,10kmL93E000N676,,clampToGround,E000N676,10kmL93E000N676,26,10kmL93E000N676
-6.2890940955944,47.7070244753666,28,10kmL93E000N677,,clampToGround,E000N677,10kmL93E000N677,27,10kmL93E000N677
-6.30477120869118,47.796405590406,29,10kmL93E000N678,,clampToGround,E000N678,10kmL93E000N678,28,10kmL93E000N678
-6.32050108109656,47.8857800666442,30,10kmL93E000N679,,clampToGround,E000N679,10kmL93E000N679,29,10kmL93E000N679
-6.33628397833681,47.9751476722344,31,10kmL93E000N680,,clampToGround,E000N680,10kmL93E000N680,30,10kmL93E000N680
-6.35212016771444,48.0645081749815,32,10kmL93E000N681,,clampToGround,E000N681,10kmL93E000N681,31,10kmL93E000N681
-6.36800991832296,48.1538613423424,33,10kmL93E000N682,,clampToGround,E000N682,10kmL93E000N682,32,10kmL93E000N682
-6.38395350106192,48.2432069414273,34,10kmL93E000N683,,clampToGround,E000N683,10kmL93E000N683,33,10kmL93E000N683
-6.39995118865195,48.3325447389996,35,10kmL93E000N684,,clampToGround,E000N684,10kmL93E000N684,34,10kmL93E000N684
-6.41600325565001,48.421874501477,36,10kmL93E000N685,,clampToGround,E000N685,10kmL93E000N685,35,10kmL93E000N685
-6.43210997846483,48.5111959949318,37,10kmL93E000N686,,clampToGround,E000N686,10kmL93E000N686,36,10kmL93E000N686
-6.44827163537243,48.6005089850918,38,10kmL93E000N687,,clampToGround,E000N687,10kmL93E000N687,37,10kmL93E000N687
-6.46448850653188,48.6898132373408,39,10kmL93E000N688,,clampToGround,E000N688,10kmL93E000N688,38,10kmL93E000N688
-6.48076087400113,48.7791085167192,40,10kmL93E000N689,,clampToGround,E000N689,10kmL93E000N689,39,10kmL93E000N689
-6.49708902175308,48.8683945879246,41,10kmL93E000N690,,clampToGround,E000N690,10kmL93E000N690,40,10kmL93E000N690
-6.51347323569176,48.9576712153123,42,10kmL93E000N691,,clampToGround,E000N691,10kmL93E000N691,41,10kmL93E000N691
-5.75804523361757,45.3021009507287,43,10kmL93E001N650,,clampToGround,E001N650,10kmL93E001N650,42,10kmL93E001N650
